"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "Dotenv", "Docker", "Markdown", "YAML", "JSON", "Ignore", "TypeScript JSX", "PostCSS", "SCSS", "SVG", "comment", "blank", "total"
"a:\GCET BLOG\GcetBlog\src\app\(frontend)\posts\page\[pageNumber]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 1, 19, 98
"a:\GCET BLOG\GcetBlog\src\app\(frontend)\profile\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 246, 0, 0, 0, 10, 17, 273
"a:\GCET BLOG\GcetBlog\src\app\(frontend)\search\page.client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 4, 16
"a:\GCET BLOG\GcetBlog\src\app\(frontend)\search\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 1, 8, 89
"a:\GCET BLOG\GcetBlog\src\app\(payload)\admin\[[...segments]]\not-found.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 2, 6, 25
"a:\GCET BLOG\GcetBlog\src\app\(payload)\admin\[[...segments]]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 2, 6, 25
"a:\GCET BLOG\GcetBlog\src\app\(payload)\admin\importMap.js", "JavaScript", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 60
"a:\GCET BLOG\GcetBlog\src\app\(payload)\api\[...slug]\route.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 21
"a:\GCET BLOG\GcetBlog\src\app\(payload)\api\graphql-playground\route.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 8
"a:\GCET BLOG\GcetBlog\src\app\(payload)\api\graphql\route.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 9
"a:\GCET BLOG\GcetBlog\src\app\(payload)\custom.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 7, 9, 55
